con1-product,con1-money,con1-dominant_emo,con1-dominant_emo_pos,con1-dominant_emo_neg,con1-text_emo1,con1-text_emo2,con1-text_importance,con1-text_goalsCon,con1-text_pleasant,con1-text_expect,con1-self_control,con1-pleasantness,con1-goal_con,con1-expect,con1-fairness,con1-certainty,con1-coping,con1-goal_relevance,con1-other_account,con1-difficult,con1-self_account,con1-attention,con1-control_circum,con1-future_expect,con1-control_other,con1-effort,con1-problem,con1-norm_external,con1-circum_account,con1-novel,con1-research,con1-recommend,con1-again,con1-anger,con1-joy,con1-disappoint,con1-surprise,con1-pride,con1-gratitude,con1-disgust,con1-regret,con1-satisfied,con1-other_Text_emo,con1-other_emo,con2-product,con2-money,con2-dominant_emo,con2-dominant_emo_pos,con2-dominant_emo_neg,con2-text_emo1,con2-text_emo2,con2-text_importance,con2-text_goalsCon,con2-text_pleasant,con2-text_expect,con2-self_control,con2-pleasantness,con2-goal_con,con2-expect,con2-fairness,con2-certainty,con2-coping,con2-goal_relevance,con2-other_account,con2-difficult,con2-self_account,con2-attention,con2-control_circum,con2-future_expect,con2-control_other,con2-effort,con2-problem,con2-norm_external,con2-circum_account,con2-novel,con2-research,con2-recommend,con2-again,con2-anger,con2-joy,con2-disappoint,con2-surprise,con2-pride,con2-gratitude,con2-disgust,con2-regret,con2-satisfied,con2-other_Text_emo,con2-other_emo,PID1-1,PID1-2,PID1-3,PID1-4,PID1-5,PID1-6,PID1-7,PID1-8,PID1-9,PID2-1,PID2-2,PID2-3,PID2-4,PID2-5,PID2-6,PID2-7,PID2-8,PID2-9,Demo-gender,Demo-gender_5_TEXT,Demo-age,Demo-race,Demo-race_6_TEXT,Demo-ethnicity,Demo-language,Demo-education,Demo-income,prolific_id,PEACE_REVIEW
Macbook,"$1,500 ",Joy,,,"The purchase of a Macbook made me feel joy because I could use the device for many different aspects of my life. From general entertainment to work tasks, the Macbook made me feel joyful because it has been very useful.",I felt joy using the Macbook because it was something that I needed in my life to help get work-related tasks done efficiently.,"Yes because the Macbook was useful to my everyday life, which is very important to me.",Yes because the Macbook worked as described and did everything it was supposed to do with regard to functioning as a laptop. ,Yes because the Macbook worked well overall. I had a pleasant time whenever I used it. ,Expected because the Macbook functioned exactly as described when I made the purchase.,6,6,6,2,7,7,7,,,1,7,,2,4,1,1,2,,1,4,6,6,6,1,6,1,2,4,4,1,1,6,NA,,Playstation,$500 ,Disappointment,,,"I didn't use the Playstation much after I purchased it. I liked playing on PC and Xbox more, and there wasn't very many games to play on the Playstation that I was interested in playing.",I felt disappointed in buying the Playstation because I could have used the money for other things that I wanted/needed in my life.,No because I didn't need the Playstation; it wasn't an important part of my life.,Neutral because I there was nothing wrong with Playstaion itself. I simply like playing games on other consoles.,Neutral because I didn't get very much use out of the Playstation. ,Expected because the Playstation did everything that it was designed to do and functioned well.,7,4,4,3,7,,7,,1,1,7,,1,4,1,1,1,7,1,2,5,4,3,3,2,6,2,1,1,1,6,2,NA,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Male,,25 - 34 years old,White or Caucasian,,No,English,"Some college, but no degree","$25,000-$49,999",5ee5e3b02eebe932ee9559c5,4
vacation,2500,Joy,,,I felt really happy to treat myself to something nice. It was my first solo trip and I was having a really good time.,I was feeling happy that I decided to spoil myself on the spa treatments.,"Yes because I don't get a lot of free time outside of my children, and especially not enough time to really enjoy my alone time.",Yes because I was able to tailor the trip to exactly what I wanted to do without any concerns for anyone else (my children).,Yes because the staff was really friendly and the atmosphere was calm and relaxing. ,Expected because I researched the services and read reviews online. I also talked to a friend who had gone there before and she gave me her recommendations.,6,7,7,2,7,7,7,7,3,1,6,1,2,7,3,1,1,7,3,7,7,7,7,1,7,1,2,7,7,1,1,7,NA,,restaurant meal,400,Disappointment,,,It was not what I expected and was not very good for the amount of money I spent.,"The food was disgusting, and I had to continuously send it back to the kitchen.",It was important because it was for a birthday dinner and I wanted it to be special.,"No because the food was raw, cold, and not edible. I was expecting a five star experience and it was not.","No because I bit into my steak and it was cold and raw on the inside, so I had to send it back.",Unexpected because the restaurant has amazing reviews and is featured all over my social media.,2,2,1,2,1,7,7,1,7,7,1,7,1,5,1,7,7,3,1,1,7,1,1,6,2,7,7,1,2,7,7,1,NA,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Female,,35 - 44 years old,Black or African American,,No,English,Bachelor’s degree,"$50,000-$74,999",63d410114a361b7bee9c12b9,4
A laptop,1200,Grateful,,,"I felt grateful about the product I purchased because it was a tool which allowed me creative opportunities I had previously not been afforded.  With this product, I was able to satisfy my wants in ways I had not been able to before.  It open up a world of great possibility and I felt very grateful for the chance to implement its processing power.  ","I was feeling grateful because, as I just wrote in the previous question, having this product allowed me to help fulfill my creative potential.","Yes, the product/service was important because of its usefulness as a creative processing tool.",Yes because the product/service provided a level of consistent satisfaction that met my regular utilitarian needs.,Yes because the product/service was pleasant.  It was pleasant because it provided me with a level of satisfaction I had not experienced in a long time.,The product was expected to turn out as it should be.  Everything met my standard of satisfaction level.,6,6,6,6,4,6,6,6,5,2,6,2,2,6,4,2,2,6,2,2,6,6,6,2,6,2,4,4,6,2,3,6,NA,,weed trimmer,200,Disappointment,,,The product made me feel disappointment because its performance lacked what I thought it advertised/. I felt depressed when I say the real time results of my labor time with this tool.,The item was not what I thought it would be.  I thought the item would perform in a different manner.,The product was important to me yes because it was going to assist in my weekly general labor tasks.,The product was not consistent with what I wanted because the tool did not trim up to the standards I was seeking.,"The experience was not pleasant because I felt as if I was doing something wrong.  I blamed myself, at first, for the performance, when it had always been the tool's fault.",Everything turned out to be unexpected because the performance of the tool made my labor more difficult.,6,2,2,6,4,4,6,2,6,4,3,6,2,6,6,5,5,5,4,3,4,2,2,5,2,6,5,2,2,3,5,2,NA,,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Male,,45 - 54 years old,White or Caucasian,,No,english,"Some college, but no degree","$50,000-$74,999",5fbb89e20ddd50a66ab62a67,4
Gaming Laptop,2000,Disappointment,,,"I felt grateful for being able to purchase it at a reasonable price. It has an AMD processor and RTX 3050 with the intention to use it for capable games of this generation or until obsolete, however I was disappointed with the release of Windows 11. It's been much like the Windows 10 initial release which is buggy. I've had to send it to manufacturer for hardware related issues as well.",I was feeling that emotion because it was a better deal thany first gaming laptop and this one would be the one to give my finances a break. However it left me wanting to never use it again or at least till things improved software wise.,Yes because it allows me to play the newer generation games that coincide with the PS5 generation.,Yes because I have actually used it a lot when first purchasing it. It allows me to have some fun and be creative.,Yes because it allows me to be creative and have fun.,Expected because it does just about the same as older generation laptops. ,3,4,4,7,4,7,7,4,3,3,5,7,7,5,5,7,7,7,7,4,7,3,1,1,4,3,1,1,1,1,1,5,I marked the wrong answer for grateful. I was actually grateful for purchasing it.,7,Headphones.,107,Other negative emotion,,Skeptical,I was feeling that emotion because other headphones had terrible sound quality so to purchase these had me hopeful of better sound quality.,I was feeling that emotion because the sound quality was actually a improvement.,Yes because I produce music for fun and analog headphones can be a pain sometimes.,Yes because they sound much better than my previous headset.,Yes because it has a mic that can turn on and off and the headset is also wireless.,Expected because I am familiar with how these products work.,7,7,5,7,5,7,7,7,4,1,7,,1,,1,,,7,,7,7,5,4,1,7,3,1,7,7,1,3,5,NA,7,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree or disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Male,,35 - 44 years old,Black or African American,,Yes,,"Some college, but no degree","Less than $25,000",64409b0331debc768106e394,4
I bought an expensive suit for a friend's wedding.,850,Regret,,,"I have mixed emotions about buying and wearing my expensive suit. On one hand, I felt a sense of joy and pride when I first saw myself in the mirror. The suit fit me like a glove, and the fabric felt luxurious against my skin. I felt like a million bucks and was excited to show off my new look to everyone I knew. However, as time went on, I started to feel disappointed. The suit was so expensive that I couldn't wear it as often as I wanted to. I was afraid of ruining it or getting it dirty, so I only wore it on very special occasions. Plus, I realized that I had spent so much money on something that was just a piece of clothing. ",The joy and pride came from knowing that I could afford to buy it. The regret came from spending so much on something I couldn't wear it often.,"The nice suit was important for the wedding and other special occasions when I wore it, but other than that no.",Yes because I enjoyed how it felt and how I looked in it.,Yes because everytime I wore my suit I enjoyed it.,Yes because it was comfortable and looked good. I could enjoy wearing it and looking good in it.,6,7,7,2,6,7,7,6,1,2,6,1,2,4,2,,2,6,1,2,5,4,3,1,5,3,1,3,3,1,3,5,NA,,Renting a limo.,550,Other positive emotion,Cool,,I felt cool having me and my friends being driven to the wedding.,"During the drive, I felt cool because I felt rich and high-class.","No, because it's only a 1-night experience. It's not worth it so it's not important.","Yes because even though it was just one night, I felt good.","No, because it's only a 1-night experience. If longer then yes.","No, because again it's just a 1-night experience. 3-4 hours for around $500 is never worth it.",3,6,4,5,4,5,5,6,3,5,4,5,4,2,5,4,5,5,4,3,1,1,1,5,3,5,2,4,3,3,7,6,NA,,Neither agree or disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Male,,18 - 24 years old,Black or African American,,No,English,Bachelor’s degree,"$50,000-$74,999",62ec6694c12a233950f64486,4
iPhone ,1000,Joy,,,I felt excited to have a new phone with new technology. Strong because I had something of value. Slightly regretful as it was quite expensive ,"The phone was amazing, but it was quite pricey. That was money I could have saved to use in other bills, or something else important. ","Yes because I needed a new phone. My old phone had broken, and it was time for an upgrad.","Yes because it was absolutely amazing, new and very high tech.","Yes because I was so happy to have the new phone in my hands, it was thrilling.",Expected because it was very fast and worked very well.,6,6,6,2,5,5,3,3,4,4,6,3,2,3,3,2,5,3,4,3,7,5,5,2,5,2,6,6,6,2,3,6,NA,,New tires for my car,700,Regret,,,"I purchased new tires for my car because they were advertised on a discount sale. The tires were overpriced, but supposed to be great in the snow, and because I live in Michigan I thought they would help the car stay on the road better","Immense excitement and security, I felt these tires could keep us much safer on the snow covered roads",Yes because I wanted my car to be safer to drive in the snow and ice in the roads,No because the tires didn’t work any better then the normal cheaper tires that I already owned before,No because I felt like I had been ripped off out of a lot of money,"Unexpected because they were supposed to be great for traction in the snow, and they were not ",6,2,2,4,2,2,4,3,2,2,5,3,3,5,4,2,3,4,3,2,3,3,2,6,2,6,2,3,2,4,6,2,NA,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Female,,35 - 44 years old,White or Caucasian,,No,English,Bachelor’s degree,"$25,000-$49,999",60f39f67a5c2c9e50ce470ee,4
A Alienware gaming desktop computer,5800,Regret,,,"The product that made me feel that way was a Alienware Gaming desktop computer, this was back when I was either 14 or 15 years old I bought it with money that I saved up over a little over a year and a half just to buy it. The reasons why I regret it was because the computer wasn't good enough for what I wanted it, aside from gaming I was also doing graphic design and video editing and really needed a computer that I could have software such as After Effects and Adobe Premiere running at the same time however this computer wasn't able to and once I did more research I found out I could of bought a computer with all the specs I needed and more for about $3,000 less.","The computer was not good enough for what I needed at the time, it was more expensive than other computers with much better performance but at the time I didn't know a lot about computers and it was an impulsive buy.","Yes because it was important for a couple reasons, one of them is because at that age it was a lot of money I saved up to buy it and another reason is I was studying graphic design and I needed it for that type of work.",No because I couldn't do everything I needed to do with the computer I had to either cut down a lot of work so I wouldn't overload the computer and work slowly on top of that.,"No because when it came to the school/work projects I needed to do it drastically limited the amount of work I could get done, something that should take me two hours to do would take me almost 8 hours to get done.",Unexpected because going of the price and the brand itself it was nowhere near what I expected in other words I felt ripped off in a way.,5,3,2,2,2,5,7,2,7,3,7,4,2,4,2,6,3,2,2,2,3,4,2,6,2,5,1,1,3,1,7,1,Embarrassed ,5,2016 Camaro SS,34500,Pride,,,The reason I felt the emotion I did was because it was a car that I had been wanting to get for a while and I always thought if I ever was going to be able to afford it would be in a lot of years not as fast as I ended up being able to afford it. I felt pride and joyful for the accomplishment and every time I saw the car I would feel the emotions again.,I was feeling the emotions because it was something that I always wanted and something I didn't think I would be able to afford at that age or at that stage in my life.,Yes because the product was basically a dream of mine that I wanted to fulfill at some point in my life it was sort of a big purchase I wanted to achieve and it came way sooner than I expected.,Yes because not only was the type of car I wanted that I was able to purchase for myself it also was exactly how I had dreamed about it from the biggest to the smallest details.,Yes because I really enjoyed the car for many years and it helped me create a lot of memories that will always stay with me it was just a really good experience all around.,"Expected because there just couldn't be a reason why I wouldn't enjoy it, it went above and beyond my expectations the entire time I owned the car and every single time I drove it as well.",7,7,7,1,7,7,7,7,1,1,7,1,1,7,1,1,1,7,1,1,6,7,7,1,7,1,3,7,7,1,1,7,Excited ,6,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Male,,25 - 34 years old,White or Caucasian,,Yes,English,High school diploma or GED,"$75,000-$99,999",60ea57c074a703877f04330b,4
skincare product,100,Joy,,,I bought a skincare product and I was happy with it,"yes I felt that emotion using the product,. I was very happy with the product",Yes because it helped me with my acne and did wonders to my skin,Yes because it did exactly what I wanted and I was happy with it,Yes because it made my skin look and feel better and I was happy,Expected because of the recommendation I got before buying it,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,5,3,3,5,NA,,I bought a sneaker,150,Regret,,,I bought this sneaker hoping to get a very good sneaker but that wasn't the case,The quality of the sneaker was bad and got spoilt in a few days,No because it didn't live up to expectations and it didn't last long ,No because the quality was very bad and I regret buying it,No because I planned on not buying another sneaker when I bought this one,Unexpected because i thought the quality was excellent that it was not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,4,3,3,5,5,3,NA,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,,18 - 24 years old,Black or African American,,No,English,Bachelor’s degree,"$150,000 or more",63ecfdaaab08d13d8a00db85,4
Trip to Korea,10000,Grateful,,,"I felt grateful because not everyone can go on a long trip like that. Also, my husband had appendicitis prior to the trip so I was grateful that he healed well and we were able to go and enjoy our time. I was also grateful because there’s a sense of returning home even though I wasn’t born in Korea. There’s a sense of belonging and familiarity. Another reason I was grateful was spending time with my husband’s relatives as they’re very welcoming.",The whole experience was positive. I really cherished the time I spent. I was grateful for the opportunity to enjoy my experiences there and can’t wait to go back.,It was very important to me. It helps me to recharge and relax. I can take in cultural sites and enjoy the delicious food. It’s one of my favorite experiences.,Yes it was. It’s always a great time. I can do nothing and walk around aimlessly and just have so much fun. There’s always something to see or do.,Yes because everything went great and just thinking about the experience makes me smile. I’m glad I took a lot of pictures so I can look back.,Expected because I’ve been before. It’s was expected but good as always.,6,7,7,7,7,7,,7,5,1,5,1,1,5,1,5,5,6,1,4,5,7,7,1,7,1,1,3,7,1,1,7,Emotional,5,All inclusive trip with friend,3000,Regret,,,The experience was soured because my friend was really difficult to be on vacation with. As an all inclusive trip there were many things we could take advantage of but she was so controlling and I regretted going on the trip and spending money to just want to go back home.,I wasn’t able to enjoy the experience fully like I should have been. My friend was so difficult and the trip was so uncomfortable.,Yes because I really needed a getaway at that time.,No because I expected a pleasant vacation not a nightmare.,No because my friend was so controlling and wouldn’t let me just relax and enjoy the amenities or even sleep in.,Unexpected because I thought it would be a positive vacation but it was the worst vacation I’ve been on.,2,1,1,1,1,2,3,1,6,6,2,,1,5,7,6,4,1,1,3,6,2,1,5,1,7,5,1,1,2,7,1,NA,,Strongly agree,Somewhat agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Female,,25 - 34 years old,Asian,,No,English,Bachelor’s degree,"$150,000 or more",5e551a9020cb9e000b1e141f,4
HP Laptop and Dell Laptop,$500 ,Disappointment,,,"I have gone through 5 laptops this year on Amazon and all of them have been re-certified (used made new). I finally gave in and purchased a brand new HP laptop and was grateful I was able to return all of the others for refund, and that this one would be excellent. 
I had the laptop for 2 days when it completely broke. I was unable to sign in and then eventually that day all websites kept being blocked as if I were a dangerous person. 
I was so incredibly disappointed and questioning if there is a good laptop that exists that isn't damaged. ","I had already returned the Dell re-certified laptop; 7 keys had fallen off the keyboard and it was impossible of course to type on it. 
This new one was much fancier and should have been excellent. It was the first one of mine to have Windows 11 which might be what the problem with it was. For 2 days it was excellent and then I did a windows restart, and it never worked again.",Yes because Laptops are essential for my income; incredibly important to me and really frustrating waiting for the new one to arrive that will hopefully work. ,"No, because it broke after 2 days. It didn't just break, I also had to spend at least a day trying to get it to work from home and then had to determine what laptop I would order next to replace it.",No because I question my own skills at purchasing electronics and doing it all myself. There is no reasonable way to know in advance how good the product will be until it's used for a few days. ,"Unexpected because - unlike before - I had finally purchased a brand new, highly-rated laptop. The others were all highly rated, but they were used and rebuilt. This one was straight from the factory and should have been exceptional. ",1,1,1,1,,4,7,1,7,7,1,7,1,1,1,7,7,4,1,1,7,1,1,4,1,7,5,1,3,1,3,1,stupid,7,Samsung Tablet,$300 ,Other negative emotion,,none,"I love my Samsung Tablet and I'm so grateful that I have 1 to use every day. It has never had a problem, never an issue. ","I feel it when I use it, when I am even looking at it right now. ",Yes because I really hate cellphones. They are very small and for the most part only good for calls and texts. Every mobile app I use is on my tablet and they are all nice and big and work perfectly. The tablet is a computer in itself it has a large capacity for storage and apps and I love it.,"Yes because it has everything I need and keeps me from having to use a phone for non-phone things like games, news, and shopping. ","Yes because it is portable, extremely efficient, has a notepad if I want to use the Samsung pen, and has lasted for years. 
It's a wonderful experience ","Expected because I had hoped it would be wonderful, and it really is wonderful. I keep thinking of new and better ways to use it. ",4,7,7,4,,4,,7,7,1,1,1,1,7,1,1,1,4,1,4,7,7,7,1,7,1,5,4,7,1,1,7,capable,7,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Female,,55 - 64 years old,White or Caucasian,,No,English,Bachelor’s degree,"Less than $25,000",6335fd309608ba9c606477fc,4
A vacation ,5700,Pride,,,"I went on a vacation with my spouse to HongKong, It was my first visit to the Asia continent. I remember my spouse planning a visit like this roughly 10 years ago, i didn't see it was important that we explore that part of the world. It was a vacation never to forget. even though the trip cost us so much but it was a memorable vacation i must say. ","I felt proud of myself because i was able to put smile in the face of my spouse, i was able to make her happy and that kind of rekindled our love",Yes the vacation was very important to us most especially to my spouse as this was meant to create a good memory that would take our marriage to the next stage. ,Yes i believe strongly that the vacation was exactly what we needed. ,"Yes, it was a pleasant experience because we had a good time together, this was a first time in a long time we would go on a vacation without the children. ","Yes, it was as expected. We go beyond what we bargained for during the vacation. ",7,7,7,4,7,7,4,7,1,1,7,7,7,7,1,1,1,7,4,5,7,7,7,1,7,1,7,7,7,1,3,7,N/A,,Shoe,250,Disappointment,,,The product dis not appear as stated in the product description. ,The product did not fit in well as well as not have the same look as it was displayed in the product video ,"No, the product wasn't important to me as it does not fit in as expected 
","No, the product was not in any way consistent what i wanted as the size and the color is a big turn off for me ","No, my experience with the product was not pleasant at all ","No, everything did not turn out to be what i had expected because i did not get to try the product on for once. ",4,1,1,1,1,1,1,1,7,7,1,7,7,4,7,6,7,1,1,,5,1,1,6,1,7,6,1,1,7,7,1,N/A,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Male,,55 - 64 years old,Black or African American,,No,Yoruba,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",62fd0bc538d70b87550691f7,4
Monitor,150,Joy,,,"I was feeling joy because of the product’s utility. It enabled me to watch things on a bigger screen and use two screens at once, which I thought was a great use. It did everything it’s supposed to do so I felt that it was a good buy and therefore felt joy.","As mentioned previously, the product brought joy as it was supposed to do everything it was supposed to do without giving me any trouble. It was easy to use and provided me with the utilities that I was looking for.",No because I guess I could have waited to get one or I could just buy any other monitors. ,Yes because as I mentioned previously it did everything it’s supposed to do,Yes because using the product was very intuitive and nothing came from the left field.,Expected because it worked and I was able to use it.,7,5,7,1,7,7,,,,,,,,,,,,,,1,4,7,7,1,5,1,1,1,6,1,1,5,NA,,Showerhead,100,Regret,,,It didn’t work so I had to go return it and wasted my time,Annoyance that I had wasted time installing it and de-installing it,No because I could just get another one. It’s more that my time was wasted,No because the showerhead did not work well so we had to get rid of it,Neutral because I only really tested it instead of fully using it.,Unexpected because it did not work well unfortunately.,,4,3,,,,,,,,,,,,,,,,,,5,1,1,2,1,4,1,1,1,1,3,1,NA,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Female,,45 - 54 years old,Asian,,No,Chinese,High school diploma or GED,"$25,000-$49,999",6353f3225208e44c98e33a3e,4
Flight experience for a vacation ,1200,Anger,,,"There were so many problems on this flight and using this airline from the beginning to the end. First I was given the wrong information when I called in to customer service before my flight. And because of this wrong information it took me two hours to be able to check my dog in with me. My flight was also over two hours late leaving. I was hassled and yelled at during the customs process. One of my bags did not make it through and I had to wait for it, the bag with all of mine toiletries and supplies for my dog. I had to buy more of those things since I was without them, and the airline did not fully reimburse me. I had a lot of items broken in my luggage. I was furious and it made me not even want to fly ever again.","Because I was treated very badly and with no respect or regard. My personal items were broken, and much of my time was wasted.","Yes because it was an extremely important and transformative trip that I was on, moving from one country to another, and it started off so very badly. I was angry for a long time afterwards.","No because who wants tons of problems when they travel? It was an awful experience at every phase. Everyone wants to enjoy their travel experiences and have them without hassles, and that’s all experienced was hassles. American Airlines is the very worst.","No, because there were no positive experiences attached to this experience in any way at all. Even the last flight on my connection flight the flight attendants were very surly and the plane wasn’t that clean. I think this question has been answered already in the questions before.","Unexpected because I would think the airline would give me correct information when I asked specific questions. I also expect them to be professional at the gate or at the counter which they were not at all. I found the baggage claim and also the flight attendant as very unprofessional. Customs was the very worst. No one on this airline or at the airport was professional in any way, and that was very unexpected, also very disgusting.",1,1,1,1,1,2,2,1,7,7,1,6,2,1,7,7,7,5,2,2,4,1,1,7,1,7,5,1,1,7,7,1,NA,,A facial oil,85,Grateful,,,It smelled wonderful and it made my skin very soft.,"I was very happy with the product, and feel good about my self care.",Yes because I am getting older and taking care of my face is getting important to me. This help to assist me in taking care of my skin.,"I have been looking for products to make my skin glow and stay clear, and this product helps very much with that.","Yes, because it smells better than practically anything I’ve ever smelled before, as well as a high-quality product that really works and does what it says.","It was expected and unexpected at the same time. It was expected because of the promises that it made and also the price, but a little bit unexpected because it actually did what it said it was going to do, which a lot of products don’t.",7,7,6,5,7,7,,7,4,1,6,1,1,6,1,2,2,6,1,1,5,6,7,1,5,1,3,1,6,1,1,7,NA,,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree or disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Strongly agree,Somewhat disagree,Female,,55 - 64 years old,Black or African American,,No,English,Bachelor’s degree,"$25,000-$49,999",63d9455555931a8fa4d7a3d8,4
dining,5000,Regret,,,"I had been working for over 3 years without taking any days off and I felt stressed out a little bit so I decided to take myself and my partner out for dinner, so one Friday we went to one nice restaurant, had the best of meals, I was glad we went out for the dinner and I didn't care much about the money I spent there. I happy i did that and i enjoyed the experience, the meal and the whole surrounding made me feel less stresssed out from work.","cause it had been a while i had that experience so i was happy being there, taking the time off work and everything to have a good night out.",yes because it had been a while i had that experience ,yes it was consistent with what I wanted cause I got exactly what i was expecting ,yes it was a pleasant experience because i ended up having a good time ,"expected because I had a good time, it waa exactly as i had expected it ",5,6,6,2,6,6,7,6,2,2,6,5,3,4,1,5,3,4,3,2,5,6,7,1,6,1,2,5,5,5,5,7,NA,,product,2000,Regret,,,"I thought I needed an electronic gadget I saw at Walmart so I was it and it was quite expensive, only to get home and realize I didn't really need it, i felt regret buying the product and later i wish i could just return it",regrets most of the time because i felt i didn't really need it ,no because it ended up in the storage for about 3 months before i used it for the first time ,neutral because it didn't serve its purpose and it ended up in the storage ,yes because it served it purpose when using it but not the time i was purchasing ,"expected because it did what it was meant to do, was able to use it ",5,4,4,4,4,6,6,4,1,2,5,4,3,4,2,3,3,5,3,4,3,3,2,1,1,5,2,2,2,2,6,2,NA,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Strongly agree,Neither agree or disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Female,,65 years old or older,Black or African American,,No,english ,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",640a90e46acb8e6c64f12d60,4
